2024-11-01 15:28:30.620 | SUCCESS  | __main__:on_startup:10 - Бот запущен
2024-11-01 15:28:33.160 | SUCCESS  | __main__:on_shutdown:14 - Бот остановлен
2024-11-01 15:28:33.417 | INFO     | __main__:<module>:34 - Работа программы принудительно завершена
2024-11-01 18:26:40.736 | SUCCESS  | __main__:on_startup:10 - Бот запущен
2024-11-01 18:27:31.060 | SUCCESS  | __main__:on_shutdown:14 - Бот остановлен
2024-11-01 18:27:31.321 | INFO     | __main__:<module>:34 - Работа программы принудительно завершена
2024-11-01 18:28:37.017 | SUCCESS  | __main__:on_startup:10 - Бот запущен
2024-11-01 18:34:18.420 | SUCCESS  | __main__:on_shutdown:14 - Бот остановлен
2024-11-01 18:34:18.680 | INFO     | __main__:<module>:34 - Работа программы принудительно завершена
2024-11-01 18:39:30.407 | SUCCESS  | __main__:on_startup:12 - Бот запущен
2024-11-01 18:40:06.322 | SUCCESS  | __main__:on_shutdown:16 - Бот остановлен
2024-11-01 18:40:06.584 | INFO     | __main__:<module>:42 - Работа программы принудительно завершена
2024-11-01 18:40:09.248 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-01 18:40:40.311 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-01 18:40:40.571 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-01 19:50:55.569 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-01 19:56:48.215 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-01 19:56:48.473 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-01 19:56:51.005 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-01 19:59:53.445 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-01 19:59:53.710 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-01 20:20:56.781 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-01 20:24:50.876 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-01 20:24:51.132 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-01 20:24:53.807 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-01 20:26:12.131 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-01 20:26:12.387 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-01 20:27:02.411 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-01 20:27:05.236 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-01 20:27:05.493 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-01 20:28:13.601 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-01 20:29:58.290 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-01 20:29:58.554 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-01 20:31:05.599 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-01 20:32:27.215 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-01 20:32:56.601 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-01 20:32:56.860 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-01 20:41:30.754 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-01 20:48:39.838 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-01 20:48:40.101 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:10:44.268 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:11:02.149 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:11:02.414 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:11:41.388 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:15:46.261 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:15:46.515 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:16:41.061 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:17:55.715 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:17:55.968 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:17:58.403 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:19:29.373 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:19:29.628 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:23:44.183 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:24:04.098 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:24:04.350 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:24:45.884 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:24:47.968 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:24:48.224 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-07 23:24:56.605 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-07 23:25:52.986 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-07 23:25:53.252 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
